chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[2300:2349],46,2300,2349,,,reference,0.8682528535524277,0.7,0.3,True,0.7804087297972803,0.7,0.3,True,0.21328630014080388,0.7,0.3,True,0.22535023502327753,0.7,0.3,True,0.5248297680489513,0.7,0.3,False
[2350:2399],47,2350,2399,,,reference,0.8794279562352755,0.7,0.3,True,0.7763942274122387,0.7,0.3,True,0.28970413297745284,0.7,0.3,True,0.16725211834353226,0.7,0.3,True,0.4769013290012875,0.7,0.3,False
[2400:2449],48,2400,2449,,,reference,0.8123419725466208,0.7,0.3,True,0.776746201887073,0.7,0.3,True,0.27171399052743445,0.7,0.3,True,0.24777808028274456,0.7,0.3,True,0.45074091938307737,0.7,0.3,False
[2450:2499],49,2450,2499,,,reference,0.8171204974138795,0.7,0.3,True,0.829904624592614,0.7,0.3,True,0.22813524534809576,0.7,0.3,True,0.21669438485965678,0.7,0.3,True,0.4937796506234085,0.7,0.3,False
[2500:2549],50,2500,2549,,,reference,0.8114973698961456,0.7,0.3,True,0.7793001448808433,0.7,0.3,True,0.19659080521737218,0.7,0.3,True,0.19359790634692225,0.7,0.3,True,0.5137571408551516,0.7,0.3,False
[2550:2599],51,2550,2599,,,reference,0.8239844220691075,0.7,0.3,True,0.7758597762380284,0.7,0.3,True,0.23360404667777698,0.7,0.3,True,0.2238467731537825,0.7,0.3,True,0.4755697582291238,0.7,0.3,False
[2600:2649],52,2600,2649,,,reference,0.8355217422652715,0.7,0.3,True,0.7652763221240998,0.7,0.3,True,0.28136596498244226,0.7,0.3,True,0.21444533246500447,0.7,0.3,True,0.4198969570093847,0.7,0.3,False
[2650:2699],53,2650,2699,,,reference,0.9066697644681615,0.7,0.3,True,0.7620579209408104,0.7,0.3,True,0.26007568259916136,0.7,0.3,True,0.2078454813202563,0.7,0.3,True,0.5223251800244605,0.7,0.3,False
[2700:2749],54,2700,2749,,,reference,0.8364252167655605,0.7,0.3,True,0.8661513801610878,0.7,0.3,True,0.22568329589080802,0.7,0.3,True,0.18752480921385284,0.7,0.3,True,0.46712067534024937,0.7,0.3,False
[2750:2799],55,2750,2799,,,reference,0.7745662647442746,0.7,0.3,True,0.7611520858669175,0.7,0.3,True,0.20589555357187597,0.7,0.3,True,0.19549326831809938,0.7,0.3,True,0.47675489026403456,0.7,0.3,False
[2800:2849],56,2800,2849,,,reference,0.7863336424331426,0.7,0.3,True,0.775224302612297,0.7,0.3,True,0.22279828775406152,0.7,0.3,True,0.18429990555196282,0.7,0.3,True,0.497689740679799,0.7,0.3,False
[2850:2899],57,2850,2899,,,reference,0.7967739104567991,0.7,0.3,True,0.761908073039214,0.7,0.3,True,0.2269077646976862,0.7,0.3,True,0.22570576983817367,0.7,0.3,True,0.5654593351980989,0.7,0.3,False
[2900:2949],58,2900,2949,,,reference,0.7814490969871585,0.7,0.3,True,0.7855772143787322,0.7,0.3,True,0.1967216445171439,0.7,0.3,True,0.1827528993160619,0.7,0.3,True,0.45433656224649593,0.7,0.3,False
[2950:2999],59,2950,2999,,,reference,0.806160303305047,0.7,0.3,True,0.7651003450163778,0.7,0.3,True,0.1858467461548649,0.7,0.3,True,0.21031242872767383,0.7,0.3,True,0.4549123100043962,0.7,0.3,False
[3000:3049],60,3000,3049,,,reference,0.8237032590195421,0.7,0.3,True,0.7855772143787322,0.7,0.3,True,0.24287273933676437,0.7,0.3,True,0.24059745795707124,0.7,0.3,True,0.5305097158365834,0.7,0.3,False
[3050:3099],61,3050,3099,,,reference,0.84476231487718,0.7,0.3,True,0.8661513801610878,0.7,0.3,True,0.1996786646014305,0.7,0.3,True,0.2413248374572094,0.7,0.3,True,0.4558050229281211,0.7,0.3,False
[3100:3149],62,3100,3149,,,reference,0.7991554259245396,0.7,0.3,True,0.7616165421997915,0.7,0.3,True,0.2544075353854258,0.7,0.3,True,0.24320855216438,0.7,0.3,True,0.4381480079370203,0.7,0.3,False
[3150:3199],63,3150,3199,,,reference,0.7852514862792156,0.7,0.3,True,0.761244627196054,0.7,0.3,True,0.22284259046741028,0.7,0.3,True,0.2418469392639763,0.7,0.3,True,0.5244895017165706,0.7,0.3,False
[3200:3249],64,3200,3249,,,reference,0.7358720503622154,0.7,0.3,True,0.7383996703633664,0.7,0.3,True,0.2733421439605431,0.7,0.3,True,0.16201583642976913,0.7,0.3,True,0.4545918329658055,0.7,0.3,False
